artist_name,valence,energy,danceability,acousticness,tempo,artist_clean
!nvite,0.41500000000000004,0.519,0.8205,0.499,0.424985,!nvite
"""Puppy Dog Pals"" Cast",0.915,0.8560000000000001,0.7050000000000001,0.096,0.6902125,"""puppy dog pals"" cast"
"""Weird Al"" Yankovic",0.736,0.575,0.6574000000000001,0.25099733333333335,0.58684,"""weird al"" yankovic"
#Kids;Nursery Rhymes;Nursery Rhymes and Kids Songs,0.908,0.494,0.58,0.0488,0.74954,#kids;nursery rhymes;nursery rhymes and kids songs
$affie,0.23,0.178,0.744,0.808,0.7413,$affie
$affie;lofi stu,0.283,0.252,0.821,0.876,0.374985,$affie;lofi stu
&ME;Rampa;Adam Port;Sofie Royer,0.156,0.485,0.772,0.000391,0.6,&me;rampa;adam port;sofie royer
'Falsettos' 2016 Broadway Company,0.323,0.309,0.384,0.817,0.407935,'falsettos' 2016 broadway company
'Til Tuesday,0.411,0.645,0.611,0.00339,0.533195,'til tuesday
(DOLCH),0.267,0.618,0.41,0.0042,0.500175,(dolch)
(G)I-DLE,0.45333333333333337,0.8333333333333334,0.6443333333333333,0.030493333333333334,0.5483816666666667,(g)i-dle
(Hed) P.E.,0.5156470588235295,0.8637647058823529,0.6128235294117647,0.015499917647058825,0.6059591176470588,(hed) p.e.
(Hed) P.E.;Lajon Witherspoon;Sevendust,0.606,0.96,0.371,0.000397,0.8757699999999999,(hed) p.e.;lajon witherspoon;sevendust
(Hed) P.E.;Serj Tankian;Morgan Lander,0.754,0.69,0.678,0.00333,0.454345,(hed) p.e.;serj tankian;morgan lander
-M-,0.4288571428571428,0.5924285714285714,0.5652857142857143,0.40662857142857145,0.5153907142857143,-m-
04 Limited Sazabys,0.0582,0.994,0.42,0.000807,0.563215,04 limited sazabys
1 Trait Danger,0.693,0.679,0.693,0.0727,0.7995,1 trait danger
10 Years,0.32025,0.81425,0.43225,0.006353500000000001,0.77818125,10 years
10-FEET,0.6436666666666667,0.981,0.5036666666666667,0.046053666666666666,0.5939433333333334,10-feet
10-FEET;Yabai T-Shirts Yasan,0.32,0.993,0.355,0.00114,0.97513,10-feet;yabai t-shirts yasan
100 Blaze,0.607,0.456,0.771,0.122,0.74031,100 blaze
100 Blaze;Lacrim,0.491,0.91,0.779,0.183,0.69988,100 blaze;lacrim
1019;Lucio101;Omar101;Nizi19;Karamel19,0.415,0.497,0.723,0.054,0.629925,1019;lucio101;omar101;nizi19;karamel19
102 Boyz;Chapo102;Stacks102;Skoob102,0.364,0.616,0.733,0.0305,0.399895,102 boyz;chapo102;stacks102;skoob102
102 Boyz;The Cratez;Chapo102;Skoob102;Stacks102,0.648,0.669,0.819,0.0265,0.375135,102 boyz;the cratez;chapo102;skoob102;stacks102
10cc,0.6275999999999999,0.5410999999999999,0.5453,0.27784,0.6916325,10cc
10cm,0.259,0.469,0.359,0.745,0.42183,10cm
110,0.366,0.622,0.587,0.00566,0.42993000000000003,110
12 Stones,0.4003333333333334,0.8664444444444445,0.3295555555555556,0.10589722222222221,0.672615,12 stones
1200 Micrograms,0.2856666666666667,0.9346666666666668,0.5836666666666667,0.0013573333333333334,0.7267133333333332,1200 micrograms
1280 Almas,0.78,0.72,0.588,0.00712,0.549705,1280 almas
12AM,0.182,0.783,0.586,0.151,0.41997999999999996,12am
12th Planet,0.0558,0.974,0.515,0.000533,0.37516,12th planet
12th Planet;Bandlez;Barely Alive;Chibs;Dirtyphonics;Disciple;Dodge & Fuski;Eliminate;Fox Stevenson;Infekt;Modestep;MVRDA;Myro;Oliverse;PhaseOne;SampliFire;Terravita;Virus Syndicate;Virtual Riot,0.339,0.937,0.592,0.00418,0.75048,12th planet;bandlez;barely alive;chibs;dirtyphonics;disciple;dodge & fuski;eliminate;fox stevenson;infekt;modestep;mvrda;myro;oliverse;phaseone;samplifire;terravita;virus syndicate;virtual riot
12th Planet;Katie Sky,0.118,0.938,0.533,0.0274,0.7499899999999999,12th planet;katie sky
13,0.139,0.778,0.726,0.000259,0.449985,13
13 Block,0.407,0.495,0.716,0.579,0.7252,13 block
1349,0.11272,0.9624,0.19056,2.406e-05,0.71468,1349
13th Floor Elevators,0.681,0.923,0.428,0.0108,0.755025,13th floor elevators
163,0.665,0.498,0.726,0.00203,0.52477,163
16BL,0.41245,0.49050000000000005,0.729,0.09725,0.604285,16bl
175R,0.4275,0.91925,0.5297499999999999,3.06e-05,0.641015,175r
1782,0.147,0.294,0.368,0.0667,0.549995,1782
1788-L;TYNAN,0.102,0.938,0.393,0.00467,0.885275,1788-l;tynan
19,0.605,0.7351666666666667,0.5121666666666667,0.11542726666666668,0.4979541666666667,19
1986zig,0.518,0.667,0.643,0.468,0.879065,1986zig
1986zig;AYLIVA,0.457,0.718,0.666,0.0118,0.869965,1986zig;ayliva
1988;Kukon,0.119,0.376,0.639,0.13,0.6995699999999999,1988;kukon
1991,0.29395,0.901,0.50525,0.010959,0.86977875,1991
1995,0.832,0.7,0.627,0.382,0.43902500000000005,1995
1PLIKÉ140,0.736,0.72,0.768,0.3725,0.74502,1pliké140
2 Best Enemies,0.0667,0.682,0.743,0.0054,0.740005,2 best enemies
2 Blyga Läppar,0.7868571428571428,0.7999999999999999,0.6372857142857143,0.07711,0.6250049999999999,2 blyga läppar
2 Blyga Läppar;Drängarna,0.563,0.754,0.599,0.0273,0.70016,2 blyga läppar;drängarna
2 Brothers On The 4th Floor,0.6289545454545454,0.8855909090909091,0.6325909090909091,0.03585090909090909,0.696375,2 brothers on the 4th floor
2 Brothers On The 4th Floor;Ran-D,0.116,0.928,0.535,0.0068,0.77436,2 brothers on the 4th floor;ran-d
2 minutos,0.5599285714285714,0.9622857142857143,0.46249999999999997,0.00087315,0.5395242857142858,2 minutos
2002,0.10163333333333334,0.2806666666666667,0.20783333333333331,0.7422666666666666,0.5013074999999999,2002
22 Void Beats;Sneaky Ollie;Milano The Don,0.312,0.95,0.469,0.0264,0.749415,22 void beats;sneaky ollie;milano the don
22 Void Beats;Sneaky Ollie;Peter Piffen,0.764,0.893,0.646,0.0497,0.7253000000000001,22 void beats;sneaky ollie;peter piffen
220 KID;LANY,0.756,0.778,0.715,0.0152,0.6197699999999999,220 kid;lany
22Gz,0.5006666666666667,0.5848333333333333,0.8678333333333333,0.17510000000000003,0.7147883333333334,22gz
22Gz;Kodak Black,0.346,0.802,0.869,0.0978,0.7044499999999999,22gz;kodak black
23Till,0.826,0.919,0.524,0.00438,0.469155,23till
24SJU,0.898,0.678,0.795,0.316,0.400185,24sju
24kGoldn;iann dior,0.732,0.716,0.701,0.174,0.455035,24kgoldn;iann dior
250 kg kärlek;Erik Meduza,0.345,0.788,0.542,0.121,0.52013,250 kg kärlek;erik meduza
250 kg kärlek;F.E.S.T;Sofie Svensson,0.704,0.849,0.84,0.0246,0.63001,250 kg kärlek;f.e.s.t;sofie svensson
25th Annual Putnam County Spelling Bee Original Cast,0.5238571428571428,0.32508571428571426,0.5264285714285715,0.8060714285714285,0.6650521428571429,25th annual putnam county spelling bee original cast
2Baba,0.838,0.777,0.579,0.385,0.389465,2baba
2Pac,0.6208750000000001,0.717125,0.788,0.12909875,0.49648749999999997,2pac
2Pac;Big Syke,0.843,0.723,0.872,0.0293,0.466395,2pac;big syke
2Pac;Outlawz,0.586,0.844,0.916,0.0394,0.47595,2pac;outlawz
2Pac;Rappin' 4-Tay,0.806,0.787,0.802,0.00127,0.450945,2pac;rappin' 4-tay
2Pac;Roger;Dr. Dre,0.761,0.85,0.763,0.0304,0.45759500000000003,2pac;roger;dr. dre
2Pac;Snoop Dogg,0.854,0.904,0.849,0.0248,0.49628999999999995,2pac;snoop dogg
2Pac;Talent,0.331,0.665,0.865,0.0453,0.555565,2pac;talent
2R,0.666,0.307,0.606,0.733,0.46047,2r
2T;Chris Beats Zn;Tz da Coronel;SoudCrime,0.236,0.635,0.583,0.0327,0.59971,2t;chris beats zn;tz da coronel;soudcrime
2gaudy,0.628,0.471,0.864,0.135,0.47975,2gaudy
2nd Grade,0.6735,0.9065000000000001,0.455,0.0019349999999999999,0.6289499999999999,2nd grade
3 Doors Down,0.3722142857142857,0.7145952380952381,0.5586190476190476,0.06034166666666666,0.610162619047619,3 doors down
3 Doors Down;Bob Seger,0.142,0.493,0.475,0.51,0.737125,3 doors down;bob seger
3 Doors Down;Jack Joseph Puig,0.3245,0.7665,0.4735,0.013125000000000001,0.5901225,3 doors down;jack joseph puig
3 Hürel,0.6779999999999999,0.438,0.63,0.1761,0.6492825,3 hürel
3 Pill Morning,0.436,0.967,0.407,0.000303,0.8503700000000001,3 pill morning
3 Steps Ahead,0.3076,0.891,0.493,0.004877557142857142,0.6846692857142856,3 steps ahead
3 Steps Ahead;Catscan;Xess,0.228,0.814,0.612,0.00112,0.724015,3 steps ahead;catscan;xess
3 Steps Ahead;Tails;Noizer;Drokz,0.268,0.98,0.477,0.00043,0.9512550000000001,3 steps ahead;tails;noizer;drokz
3030,0.534,0.5087142857142857,0.7355714285714285,0.5944285714285715,0.5076914285714286,3030
3030;Lauana Prado,0.862,0.652,0.774,0.518,0.72505,3030;lauana prado
3030;Rael,0.784,0.522,0.9,0.313,0.550055,3030;rael
31 Minutos,0.6979166666666666,0.7844166666666667,0.6531666666666667,0.361275,0.6107970833333334,31 minutos
31 Minutos;C-Lurio & Area 31,0.904,0.831,0.773,0.13,0.49939999999999996,31 minutos;c-lurio & area 31
